lokalizacja;adres;rodzaj licznika;godzina;dzien;miesiac;rok;t1;t2;moc kW;przeplyw m3/h;moc max kW;przeplyw max m3/h
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;0;1;1;2010;92.33;48.27;156.10;3.1;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;1;1;1;2010;91.87;54.09;127.60;2.9;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;2;1;1;2010;91.38;55.06;125.27;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;3;1;1;2010;91.08;56.26;116.70;2.9;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;4;1;1;2010;91.15;56.80;116.80;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;5;1;1;2010;91.43;56.91;117.13;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;6;1;1;2010;92.19;54.30;128.35;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;7;1;1;2010;93.44;57.20;123.00;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;8;1;1;2010;94.22;56.59;128.45;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;9;1;1;2010;94.70;50.82;153.77;3.1;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;11;1;1;2010;95.66;54.27;139.55;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;12;1;1;2010;96.12;48.13;163.08;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;13;1;1;2010;96.38;53.79;141.33;2.9;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;14;1;1;2010;96.45;49.38;148.20;2.7;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;15;1;1;2010;96.54;49.97;159.20;2.9;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;16;1;1;2010;96.39;52.35;139.55;2.8;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;17;1;1;2010;95.59;55.29;128.35;2.8;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;18;1;1;2010;94.66;56.34;122.40;2.8;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;19;1;1;2010;91.83;47.68;155.53;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;20;1;1;2010;89.57;52.57;124.15;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;21;1;1;2010;88.04;49.35;133.40;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;22;1;1;2010;87.32;50.30;133.85;3.2;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;23;1;1;2010;86.59;52.67;116.10;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;0;2;1;2010;86.60;52.30;117.20;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;1;2;1;2010;88.61;53.90;117.95;3.0;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;2;2;1;2010;89.17;55.45;111.60;2.9;210.30;4.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;3;2;1;2010;88.85;55.62;110.30;2.9;160.90;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;4;2;1;2010;89.94;56.08;114.35;3.0;113.10;2.9
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;5;2;1;2010;90.03;56.31;113.00;2.9;117.10;3.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;6;2;1;2010;89.13;54.86;115.17;2.9;117.10;3.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;7;2;1;2010;89.22;52.90;122.50;2.9;119.00;3.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;8;2;1;2010;89.49;52.47;125.07;2.9;121.23;3.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;9;2;1;2010;91.04;51.59;130.03;2.9;124.13;3.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;10;2;1;2010;92.02;52.92;127.40;2.9;133.35;3.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;11;2;1;2010;92.72;45.56;166.13;3.1;143.97;3.0
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;12;2;1;2010;92.22;45.16;185.85;3.4;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;13;2;1;2010;92.75;49.15;152.33;3.0;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;14;2;1;2010;92.91;49.14;145.70;2.9;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;15;2;1;2010;92.60;52.40;134.97;2.9;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;16;2;1;2010;91.66;49.02;143.40;2.9;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;17;2;1;2010;90.17;53.61;120.55;2.9;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;18;2;1;2010;89.40;54.24;113.00;2.8;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;19;2;1;2010;89.23;52.04;121.70;2.9;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;20;2;1;2010;89.26;52.09;125.65;3.0;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;21;2;1;2010;90.31;53.21;124.55;3.0;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;22;2;1;2010;89.33;54.22;126.50;3.1;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;23;2;1;2010;88.97;51.45;132.45;3.1;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;0;3;1;2010;90.25;53.13;132.10;3.0;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;1;3;1;2010;91.85;54.12;126.13;2.9;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;2;3;1;2010;92.68;51.98;135.93;2.9;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;3;3;1;2010;92.83;54.36;124.60;2.9;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;4;3;1;2010;92.67;49.75;142.90;2.9;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;5;3;1;2010;92.70;53.09;127.90;2.8;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;6;3;1;2010;92.46;53.96;122.80;2.8;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;7;3;1;2010;92.10;52.66;125.23;2.8;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;8;3;1;2010;90.87;53.52;113.60;2.7;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;9;3;1;2010;89.84;52.49;113.43;2.5;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;10;3;1;2010;89.44;50.16;115.47;2.6;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;11;3;1;2010;89.58;49.64;117.00;2.6;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;12;3;1;2010;90.42;47.25;124.70;2.6;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;13;3;1;2010;90.62;49.22;121.40;2.5;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;14;3;1;2010;90.15;48.86;127.70;2.7;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;15;3;1;2010;88.93;52.35;115.25;2.8;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;16;3;1;2010;88.31;54.24;123.80;3.2;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;17;3;1;2010;88.55;49.42;133.95;3.0;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;18;3;1;2010;89.02;46.93;146.60;3.0;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;19;3;1;2010;94.17;45.27;151.40;2.7;155.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;20;3;1;2010;96.73;45.90;153.25;2.7;156.45;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;21;3;1;2010;100.85;44.91;168.93;2.6;160.03;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;23;3;1;2010;102.47;50.93;153.80;2.6;182.50;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;1;4;1;2010;102.00;54.01;148.50;2.7;182.50;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;2;4;1;2010;101.55;54.39;148.30;2.7;182.50;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;3;4;1;2010;101.51;54.42;155.90;2.9;182.50;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;4;4;1;2010;101.44;54.26;158.50;2.9;182.50;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;6;4;1;2010;102.25;44.15;217.30;3.2;182.50;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;7;4;1;2010;103.52;49.60;181.50;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;8;4;1;2010;103.20;46.42;193.30;3.1;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;9;4;1;2010;103.66;53.20;170.50;3.0;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;10;4;1;2010;104.26;52.63;178.75;3.0;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;11;4;1;2010;105.02;55.40;164.90;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;12;4;1;2010;104.91;56.75;160.85;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;13;4;1;2010;103.74;54.50;160.50;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;14;4;1;2010;103.03;55.74;146.30;2.7;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;15;4;1;2010;102.73;54.26;146.00;2.6;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;16;4;1;2010;101.74;52.52;142.10;2.5;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;17;4;1;2010;101.17;52.35;139.80;2.5;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;18;4;1;2010;99.92;45.79;160.90;2.6;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;19;4;1;2010;99.14;43.65;167.80;2.6;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;20;4;1;2010;95.37;43.28;162.60;2.7;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;21;4;1;2010;93.28;40.20;147.95;2.7;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;22;4;1;2010;93.14;50.09;134.15;2.7;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;23;4;1;2010;94.69;51.56;142.65;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;0;5;1;2010;96.17;54.03;162.55;3.1;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;1;5;1;2010;96.91;54.31;148.70;3.0;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;2;5;1;2010;97.27;51.97;157.65;3.1;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;3;5;1;2010;97.53;53.84;147.75;3.0;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;4;5;1;2010;97.28;52.44;150.60;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;6;5;1;2010;96.74;50.48;158.05;3.0;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;7;5;1;2010;96.82;44.38;200.30;3.3;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;8;5;1;2010;97.56;49.03;170.50;3.1;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;9;5;1;2010;96.94;48.09;167.70;3.0;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;10;5;1;2010;95.93;51.70;147.10;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;11;5;1;2010;95.24;52.79;144.60;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;13;5;1;2010;95.11;53.42;137.30;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;14;5;1;2010;94.84;50.40;147.20;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;15;5;1;2010;93.18;54.06;124.45;2.8;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;16;5;1;2010;91.65;49.99;137.25;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;17;5;1;2010;89.07;54.44;113.30;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;18;5;1;2010;89.67;45.52;139.50;2.8;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;20;5;1;2010;93.30;48.98;124.50;2.5;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;21;5;1;2010;94.39;44.72;141.80;2.5;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;22;5;1;2010;96.41;48.92;140.95;2.6;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;23;5;1;2010;96.85;54.14;123.60;2.5;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;0;6;1;2010;96.59;53.82;122.75;2.5;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;1;6;1;2010;96.63;53.05;124.90;2.5;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;2;6;1;2010;96.48;53.86;122.10;2.5;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;3;6;1;2010;97.11;53.95;127.05;2.6;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;4;6;1;2010;98.15;53.99;131.50;2.6;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;5;6;1;2010;98.22;48.54;146.90;2.8;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;6;6;1;2010;97.71;44.05;181.85;3.0;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;7;6;1;2010;98.19;48.92;181.03;3.2;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;9;6;1;2010;99.07;54.61;149.20;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;10;6;1;2010;99.75;52.80;157.00;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;11;6;1;2010;99.93;51.32;160.55;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;12;6;1;2010;99.69;50.77;154.15;2.8;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;13;6;1;2010;99.86;51.31;157.35;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;14;6;1;2010;100.29;49.94;166.10;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;15;6;1;2010;100.71;43.84;197.60;3.0;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;16;6;1;2010;97.78;51.11;154.25;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;18;6;1;2010;94.99;50.60;151.60;3.0;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;19;6;1;2010;94.01;48.54;160.75;3.0;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;20;6;1;2010;93.20;47.53;150.15;2.9;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;21;6;1;2010;92.74;45.18;165.03;3.0;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;22;6;1;2010;92.96;49.28;155.40;3.1;189.70;3.1
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;23;6;1;2010;92.88;51.69;144.95;3.1;189.70;3.2
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;0;7;1;2010;93.81;53.33;142.67;3.1;189.70;3.2
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;1;7;1;2010;94.17;54.46;139.13;3.1;189.70;3.2
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;3;7;1;2010;94.41;54.46;137.90;3.0;189.70;3.2
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;4;7;1;2010;94.03;54.11;138.95;3.0;189.70;3.2
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;5;7;1;2010;93.49;51.18;144.70;3.2;189.70;3.2
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;6;7;1;2010;92.44;49.39;161.60;3.3;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;7;7;1;2010;93.93;49.55;160.70;3.1;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;8;7;1;2010;95.19;52.35;146.57;3.0;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;9;7;1;2010;94.85;53.57;143.45;3.1;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;10;7;1;2010;95.32;51.71;153.20;3.1;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;11;7;1;2010;95.28;46.94;169.30;3.1;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;12;7;1;2010;95.16;52.64;143.30;2.9;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;13;7;1;2010;92.92;52.37;136.15;3.0;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;14;7;1;2010;93.08;51.35;139.10;2.9;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;15;7;1;2010;92.89;50.37;138.35;2.9;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;16;7;1;2010;92.39;48.01;142.03;2.8;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;17;7;1;2010;92.16;52.87;123.43;2.7;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;18;7;1;2010;91.21;51.65;129.47;2.9;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;19;7;1;2010;90.24;49.84;144.80;3.1;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;20;7;1;2010;90.18;45.77;156.63;3.1;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;21;7;1;2010;90.54;42.83;184.60;3.4;189.70;3.3
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;22;7;1;2010;89.54;47.59;168.93;3.5;189.70;3.4
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;23;7;1;2010;88.93;53.03;133.00;3.2;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;0;8;1;2010;93.70;51.96;153.25;3.2;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;1;8;1;2010;94.06;51.89;144.73;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;2;8;1;2010;94.08;54.29;134.33;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;3;8;1;2010;95.06;54.17;132.40;2.8;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;4;8;1;2010;95.66;49.76;160.05;3.1;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;5;8;1;2010;93.85;50.06;150.80;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;6;8;1;2010;92.16;48.53;155.80;3.2;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;7;8;1;2010;92.13;51.00;151.15;3.2;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;8;8;1;2010;92.26;50.18;156.15;3.3;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;9;8;1;2010;94.74;51.85;152.60;3.1;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;10;8;1;2010;97.83;52.00;154.57;2.9;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;11;8;1;2010;96.08;52.58;153.85;3.1;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;12;8;1;2010;96.01;54.09;142.17;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;13;8;1;2010;98.01;50.27;161.73;2.9;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;14;8;1;2010;98.92;50.23;167.70;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;15;8;1;2010;95.24;49.48;150.90;2.9;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;16;8;1;2010;94.64;52.75;158.40;3.1;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;17;8;1;2010;93.95;50.33;143.30;2.9;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;18;8;1;2010;93.18;47.32;149.77;2.8;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;19;8;1;2010;93.38;46.82;150.37;2.8;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;20;8;1;2010;92.86;48.84;139.05;2.8;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;21;8;1;2010;92.53;45.33;154.80;2.8;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;22;8;1;2010;91.83;48.56;145.60;2.9;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;23;8;1;2010;92.41;52.44;142.80;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;0;9;1;2010;92.48;51.54;143.60;3.1;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;1;9;1;2010;92.71;54.56;132.40;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;2;9;1;2010;93.61;54.52;134.30;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;3;9;1;2010;93.67;53.75;137.27;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;4;9;1;2010;93.74;54.29;131.70;2.9;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;5;9;1;2010;93.34;51.35;143.70;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;6;9;1;2010;93.46;54.65;133.40;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;7;9;1;2010;94.59;53.10;138.95;3.0;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;8;9;1;2010;95.02;49.24;163.33;3.1;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;9;9;1;2010;95.15;48.08;195.40;3.3;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;10;9;1;2010;95.99;51.36;146.30;2.9;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;11;9;1;2010;96.66;46.24;166.00;2.9;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;12;9;1;2010;95.68;49.50;153.15;2.9;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;13;9;1;2010;94.03;48.57;147.60;2.8;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;14;9;1;2010;92.99;52.97;127.70;2.8;189.70;3.5
22214;STRUMYKOWA 29C OŚ.BUCZYNEK I            ;LG  ;16;9;1;2010;90.31;50.98;131.28;2.9;189.70;3.5
